transaction_id,item_position,item_name,item_price
TX00001116,1,Braenk,58.2
TX00001116,2,Etuers,28.99
TX00001116,3,,56.91
TX00001368,1,,4.6
TX00001368,2,Unfoldiin gAmber,25.44
TX00000422,1,,68.26
TX00000422,2,unit part stuff,85.41
TX00000422,3,element part,39.34
TX00000413,1,unit part stuff,52.84
TX00000413,2,Meatowboudn,8.03
TX00000413,3,unit part stuff,2.65
TX00000413,4,uoFragments part part,81.99
TX00000451,1,element part,53.84
TX00000451,2,Ashfll Serenidy,70.27
TX00000451,3,Vei part Averwind,10.89
TX00000451,4,Whisperiing Embelrigt,16.95
TX00000451,5,part Gosesamer,62.72
TX00000861,1,,18.86
TX00000861,2,thing,87.87
TX00001063,1,part Currenat,93.41
TX00001063,2,Emberveult unit,23.02
TX00001063,3,Spleintered Sephyr,51.43
TX00001063,4,unit,83.09
TX00000741,1,piece item,49.84
TX00001272,1,Eteran,78.44
TX00001272,2,uFlow,55.71
TX00001272,3,Laiminal,87.58
TX00001272,4,thing,53.54
TX00000259,1,,32.64
TX00000259,2,Benaieth,36.39
TX00000259,3,item Trae,24.58
TX00000259,4,Fracteured Curorent,42.35
TX00000888,1,piece,53.46
TX00001432,1,thing,17.81
TX00000712,1,Emebr object,66.58
TX00000712,2,erity Shdaowing object,34.82
TX00000712,3,Emebr Threead,19.74
TX00001382,1,unit,84.31
TX00000070,1,oWven element,70.1
TX00000070,2,Harmonizd Fleetng,31.61
TX00000070,3,Saffran Eclpise,76.79
TX00000070,4,Quenech,30.74
TX00000070,5,Velved item,81.28
TX00001268,1,,32.99
TX00001491,1,object,84.52
TX00001491,2,thing Swya,71.01
TX00000607,1,Cohasing,94.88
TX00000607,2,,82.07
TX00000607,3,,48.16
TX00000607,4,,54.8
TX00000433,1,element part,46.53
TX00000051,1,piece Aclipse,49.95
TX00000051,2,aSffrn piece,6.97
TX00000051,3,Cascte item Elsewhee,99.0
TX00001199,1,stuff Brnk,54.92
TX00001199,2,Eclipsoeed,99.26
TX00001199,3,piece thing,26.66
TX00001128,1,object dEthesr,18.57
TX00001128,2,,95.35
TX00001190,1,,30.62
TX00001190,2,piece thing,38.31
TX00001249,1,Frosbite Hoirzon,54.51
TX00001249,2,Celeztiaal,62.74
TX00001249,3,thing,45.75
TX00001419,1,thing Glam,86.49
TX00001419,2,thing thing,47.58
TX00001419,3,object,14.21
TX00001419,4,thing thing,1.75
TX00001419,5,Aurelec mbrace,17.45
TX00000432,1,Limainal,74.16
TX00001452,1,thing Say,11.9
TX00001452,2,Hallouwed thing,16.91
TX00001452,3,parrowtede,38.41
TX00001452,4,Monthead,48.66
TX00001470,1,Gildrain Stuell,95.31
TX00001470,2,thing,47.47
TX00001470,3,Latticeboorne Muze,35.11
TX00001234,1,,44.95
TX00001234,2,item's part,10.5
TX00001234,3,eFrostibte item,79.86
TX00001234,4,Eterna Sundwn,57.62
TX00001234,5,,96.34
TX00001281,1,Wointer,51.53
TX00001281,2,thing,99.89
TX00001281,3,thing,24.82
TX00001085,1,Spilntered Zephyor,10.38
TX00001085,2,,34.83
TX00001085,3,object Asohr,61.68
TX00001085,4,Sblinteed unit,88.89
TX00000610,1,Taeztry,6.07
TX00001284,1,elestial item,23.24
TX00001284,2,item,51.0
TX00001041,1,Gliaow,33.31
TX00001041,2,unit Alluar,1.9
TX00000220,1,item,81.52
TX00000220,2,object Emabrk,36.67
TX00000220,3,Fracatued,58.84
TX00000220,4,Unotamed,10.15
TX00000220,5,stuff Listeing,79.58
TX00000339,1,Axioim stuff,18.09
TX00000339,2,Praech,32.06
TX00000339,3,hasig,21.82
TX00000339,4,,68.84
TX00000423,1,Meadowboaund cho,18.31
TX00000428,1,element,85.25
TX00000428,2,part iverwind,79.35
