transaction_id,terminal_id,customer_id,amount,currency,transaction_time,transaction_hour,transaction_weekday,payment_method,item_count,operator_id,device_id,batch_id,auth_code,response_code,network_type,session_id,reference_number,trace_id,pos_entry_mode,true_mcc
TX00001116,T000233,C000383,272.8,GBP,2024-11-16 22:00:00,22,Saturday,MOBILE,3,OP50,DEV-D873,B7549,771150,00,4G,274b8351,REF16528164,ed39a783-a597-4d5c-884b-8dfa9f4f2083,07,5995
TX00001368,T000265,C000004,196.33,GBP,2024-01-14 07:00:00,7,Sunday,MOBILE,2,OP58,DEV-E604,B6001,084120,00,5G,462cd323,REF51086615,208a1fbe-60ce-447a-b700-daab3da0ca42,91,5942
TX00000422,T000083,C000171,172.16,USD,2024-08-09 13:00:00,13,Friday,CARD,3,OP23,DEV-C642,B5884,363382,00,WIFI,7fd24097,REF38935409,e1fbc784-1fcc-4816-93ab-e8244540b484,07,5651
TX00000413,T000078,C000450,465.8,GBP,2024-08-16 23:00:00,23,Friday,CARD,4,OP12,DEV-C374,B9213,479281,00,4G,3f2021da,REF45112407,73532bfb-91c0-4374-bd6f-e5321a16735a,81,5651
TX00000451,T000086,C000486,425.81,EUR,2024-05-13 22:00:00,22,Monday,CARD,5,OP27,DEV-C722,B9005,376123,00,LAN,ceab216a,REF59097411,395f6a67-83dc-4675-ab2a-3d60ea698ca3,05,5651
TX00000861,T000167,C000188,228.83,USD,2024-05-06 11:00:00,11,Monday,CARD,2,OP40,DEV-B210,B4357,686671,05,WIFI,91893127,REF85577947,ac472fa2-1687-48aa-8c75-376cfe901efe,91,5912
TX00001063,T000205,C000017,10.96,USD,2024-03-17 21:00:00,21,Sunday,MOBILE,4,OP42,DEV-D640,B9369,755943,00,LAN,4a3cdeac,REF63721952,fd9f9049-e492-4bca-a94b-1e92f6983868,07,5261
TX00000741,T000134,C000269,166.49,USD,2024-05-27 15:00:00,15,Monday,MOBILE,1,OP17,DEV-C131,B6255,369540,00,4G,ffac7e2d,REF90616304,f1e9e9fd-6774-4513-a421-4788c24dd0ef,91,5732
TX00001272,T000250,C000432,358.06,EUR,2024-07-01 17:00:00,17,Monday,CARD,4,OP55,DEV-E367,B3730,087021,14,LAN,a1282d80,REF93968840,35d09f6b-1e3c-44ca-86ea-de3f5af06d31,05,5941
TX00000259,T000041,C000338,76.88,GBP,2024-07-12 16:00:00,16,Friday,CARD,4,OP07,DEV-A389,B7290,234199,14,4G,b5667c07,REF99705272,63646593-340f-4e7c-a80f-9845d104fcc7,81,5812
TX00000888,T000167,C000002,402.88,EUR,2024-02-08 19:00:00,19,Thursday,CARD,1,OP37,DEV-B706,B6736,593620,00,5G,1d745dec,REF79505854,5d014225-4399-410e-9d09-e5f0fe6a95b3,81,5912
TX00001432,T000277,C000363,111.27,EUR,2024-10-28 17:00:00,17,Monday,MOBILE,1,OP60,DEV-E343,B7720,092195,00,WIFI,5277630d,REF61061730,9aee7fdb-ecd4-4af0-9893-9510651ac3a1,05,5945
TX00000712,T000151,C000065,472.36,EUR,2024-12-13 13:00:00,13,Friday,CASH,3,OP17,DEV-C558,B4505,333699,00,5G,57a49c83,REF23404936,2d73ad0d-e083-4904-8c40-64f266782bee,91,5732
TX00001382,T000265,C000294,377.76,EUR,2024-10-11 06:00:00,6,Friday,CASH,1,OP52,DEV-E326,B1240,074700,00,5G,19a3904e,REF53559277,61a78462-96d3-4535-af0a-16d955311597,81,5942
TX00000070,T000002,C000330,100.35,EUR,2024-11-23 14:00:00,14,Saturday,MOBILE,5,OP09,DEV-A361,B3661,269777,00,WIFI,57163ad0,REF29225877,53136c7a-7a14-414f-94e0-0e91b58cca69,07,5411
TX00001268,T000254,C000330,296.18,EUR,2024-06-20 14:00:00,14,Thursday,MOBILE,1,OP59,DEV-E796,B2220,962314,00,LAN,18532d42,REF35179681,2c522af5-5a59-4bc3-8d1f-c736f5923af9,91,5941
TX00001491,T000290,C000381,224.58,USD,2024-12-13 17:00:00,17,Friday,CARD,2,OP58,DEV-E953,B9281,981084,00,5G,42987916,REF14558338,cac2d136-2b38-459f-98c1-b71742ae3674,05,5945
TX00000607,T000130,C000092,60.34,USD,2024-05-22 12:00:00,12,Wednesday,MOBILE,4,OP18,DEV-C951,B4215,446932,00,4G,95f7fb4c,REF89966028,2e90e475-b025-47cc-871b-63bd37c35125,91,5311
TX00000433,T000076,C000098,408.09,EUR,2024-02-22 08:00:00,8,Thursday,CARD,1,OP16,DEV-C589,B8703,488694,14,4G,2cbaa33d,REF25674475,8fd5f380-1d82-4588-8363-880667333229,91,5651
